Smartphone Name,Price (Rs.),Average Rating,Number of Ratings,Memory Variant,Display Features,Camera Features,Battery Features
"Motorola G34 5G (Ocean Green, 128 GB)",11999,4.2,77731,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"Motorola G34 5G (Charcoal Black, 128 GB)",11999,4.2,77731,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"Motorola G34 5G (Ice Blue, 128 GB)",11999,4.2,77731,8 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"vivo T3x 5G (Crimson Bliss, 128 GB)",14999,4.5,21226,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"vivo T3x 5G (Celestial Green, 128 GB)",16499,4.4,4683,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 256 GB)",18829,4.4,83473,8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"vivo T3x 5G (Celestial Green, 128 GB)",13499,4.5,5759,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"vivo T3x 5G (Celestial Green, 128 GB)",14999,4.5,21226,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Pastel Lime, 128 GB)",16935,4.4,83473,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"vivo T3x 5G (Crimson Bliss, 128 GB)",13499,4.5,5759,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,6000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 256 GB)",18765,4.4,83473,8 GB RAM | 256 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)",16935,4.4,83473,8 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,108MP Rear Camera,5000 mAh Battery
"realme 12x 5G (Twilight Purple, 128 GB)",14999,4.3,3028,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12x 5G (Twilight Purple, 128 GB)",13499,4.4,23979,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12x 5G (Woodland Green, 128 GB)",13499,4.4,23979,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme 12x 5G (Woodland Green, 128 GB)",14999,4.3,3028,8 GB RAM | 128 GB ROM | Expandable Upto 2 TB,17.07 cm (6.72 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Motorola g64 5G (Pearl Blue, 128 GB)",13999,4.2,8539,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"POCO M6 Pro 5G (Forest Green, 128 GB)",10499,4.2,98078,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Motorola G34 5G (Ocean Green, 128 GB)",10999,4.2,33030,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"SAMSUNG Galaxy F34 5G (Electric Black, 128 GB)",12999,4.2,35685,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery
"Motorola Edge 40 Neo (Black Beauty, 256 GB)",24999,4.3,47212,12 GB RAM | 256 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"Motorola g64 5G (Ice Lilac, 256 GB)",15999,4.1,5457,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"Motorola G34 5G (Ice Blue, 128 GB)",10999,4.2,33030,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"Motorola g64 5G (Mint Green, 256 GB)",15999,4.1,5457,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"Motorola g64 5G (Mint Green, 256 GB)",15999,4.1,5457,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"SAMSUNG Galaxy F34 5G (Mystic Green, 128 GB)",12999,4.2,35685,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP + 2MP | 13MP Front Camera,6000 mAh Battery
"Motorola G34 5G (Charcoal Black, 128 GB)",10999,4.2,33030,4 GB RAM | 128 GB ROM,16.51 cm (6.5 inch) HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"POCO M6 5G (Galactic Black, 256 GB)",10999,4.2,9329,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"POCO M6 5G (Polaris Green, 256 GB)",10999,4.2,9329,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Moonstone Silver, 128 GB)",11999,4.3,8005,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO M6 5G (Orion Blue, 256 GB)",10999,4.2,9329,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Motorola g64 5G (Pearl Blue, 256 GB)",15999,4.1,5457,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) Full HD+ Display,50MP (OIS) + 8MP | 16MP Front Camera,6000 mAh Battery
"REDMI 13C 5G (Starlight Black, 128 GB)",10499,4.3,5782,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"REDMI 13C 5G (Startrail Green, 128 GB)",10499,4.3,5782,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"Motorola Edge 40 Neo (Black Beauty, 128 GB)",22999,4.3,49736,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Pastel Blue, 128 GB)",11999,4.3,8005,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"Motorola Edge 40 Neo (Soothing Sea, 128 GB)",22999,4.3,49736,8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display,50MP + 13MP | 32MP Front Camera,5000 mAh Battery
"Motorola Edge 50 Pro 5G with 68W Charger (Black Beauty, 256 GB)",29999,4.4,13530,8 GB RAM | 256 GB ROM,17.02 cm (6.7 inch) Display,50MP + 13MP + 10MP | 50MP Front Camera,4500 mAh Battery
"vivo T2 Pro 5G (Dune Gold, 256 GB)",23999,4.5,98611,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"REDMI 13C 5G (Startrail Silver, 128 GB)",10499,4.3,5782,4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.12 cm (6.74 inch) HD+ Display,50MP Rear Camera | 5MP Front Camera,5000 mAh Battery
"vivo T2 Pro 5G (New Moon Black, 128 GB)",22999,4.5,98611,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"vivo T2 Pro 5G (New Moon Black, 256 GB)",23999,4.5,98611,8 GB RAM | 256 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"REDMI 12 5G (Pastel Blue, 128 GB)",12499,4.2,32393,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"vivo T2 Pro 5G (Dune Gold, 128 GB)",22999,4.5,98611,8 GB RAM | 128 GB ROM,17.22 cm (6.78 inch) Full HD+ Display,64MP + 2MP | 16MP Front Camera,4600 mAh Battery
"REDMI 12 5G (Jade Black, 256 GB)",13999,4.2,17319,8 GB RAM | 256 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"realme P1 5G (Peacock Green, 128 GB)",15999,4.4,13111,6 GB RAM | 128 GB ROM | Expandable Upto 2 TB,16.94 cm (6.67 inch) Full HD+ Display,50MP + 2MP | 16MP Front Camera,5000 mAh Battery
"REDMI 12 5G (Moonstone Silver, 128 GB)",12499,4.2,32393,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,17.25 cm (6.79 inch) Full HD+ Display,50MP + 2MP | 8MP Front Camera,5000 mAh Battery
"POCO X6 Neo 5G (Astral Black, 256 GB)",15999,4.1,3095,12 GB RAM | 256 GB ROM | Expandable Upto 1 TB,16.94 cm (6.67 inch) Full HD+ Display,108MP + 2MP | 16MP Front Camera,5000 mAh Battery
